"Показник","Період","Стать","Територіальний розріз","Категорія розрізу","Розріз","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2016","2017","2018","2019","2020"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Жінки","Україна","Професії та професійні групи","Складальники","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","3371","","","","7482"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Жінки","Україна","Професії та професійні групи","Манекенники та інші моделі","Річна","Гривня","Одиниці","Нуль","Явищ не було","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середня заробітна плата штатних працівників за одну оплачену годину  обчислюється шляхом ділення суми нарахованого фонду оплати праці штатних працівників на кількість оплачених їм людино-годин за відповідний період. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","","","","",""
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Жінки","Україна","Професії та професійні групи","Технічні службовці ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","3167","","","","7019"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Жінки","Україна","Стаж роботи","15-19 років","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","4603","","","","11313"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Жінки","Україна","Професії та професійні групи","Комірники та вагарі ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","2919","","","","7613"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Професіонали в галузі  художньої творчості","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","5240","","","","14092"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Інші професіонали","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","7439","","","","19641"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вид економічної діяльності","Промисловість","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","5972","","","","12558"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вікова група","65 років і старші","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","4710","","","","9946"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Професіонали в галузі медицини (крім медичних сестер)","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","4506","","","","12078"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Професіонали в сфері державної  служби, аудиту, бухгалтерського обліку, праці та зайнятості, маркетингу, ефективності підприємництва, раціоналізації виробництва та інтелектуальної власності","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","7292","","","","18388"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вікова група","До 25 років","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","3828","","","","8817"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Професіонали, що не входять в  інші класифікаційні угруповання","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","8998","","","","22319"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вікова група","45-54 років","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","5326","","","","12055"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Менеджери (управителі) у сфері операцій з нерухомістю здавання під найом та послуг юридичним особам ","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","8007","","","","12638"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вид економічної діяльності","Переробна промисловість","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","5543","","","","11748"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вид економічної діяльності","Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","5824","","","","11214"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Фахівці з початкової освіти","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","4561","","","","4184"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Рівень освіти","Дошкільна освіта","Річна","Гривня","Одиниці","Нуль","Явищ не було","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середня заробітна плата штатних працівників за одну оплачену годину  обчислюється шляхом ділення суми нарахованого фонду оплати праці штатних працівників на кількість оплачених їм людино-годин за відповідний період. Освіта – це процес і результат засвоєння людиною систематичних знань, умінь і навичок, розвиток розуму та почуттів, формування світогляду та пізнавальних інтересів.","","","","","",""
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вид економічної діяльності","Усього","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","5500","","","","12035"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Технічні фахівці в галузі обчислювальної техніки","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","8394","","","","18679"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вікова група","60-64 роки","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді.","","4811","","","","10301"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Професії та професійні групи","Менеджери (управителі) в оборобній промисловості та у виробництві електроенергії, газу та води","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Професія – це певний вид трудової діяльності, який потребує спеціальних теоретичних знань та практичних навичок. Професія – рід занять, певна форма трудової діяльності.","","11449","","","","12772"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Рівень освіти","Усього","Річна","Гривня","Одиниці","Нуль","","","1. Дані підготовлено за результатами державного статистичного спостереження ""Рівень заробітної плати працівників за статтю, віком, освітою та професійними групами"", яким охоплені юридичні особи та відокремлені підрозділи юридичних осіб із кількістю найманих працівників 10 і більше осіб. 2. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Середньомісячна заробітна плата одного штатного працівника розраховується шляхом ділення нарахованого фонду оплати праці штатних працівників за звітний місяць (період) на середньооблікову кількість штатних працівників і на кількість місяців у періоді. Освіта – це процес і результат засвоєння людиною систематичних знань, умінь і навичок, розвиток розуму та почуттів, формування світогляду та пізнавальних інтересів.","","5500","","","","12035"
